--step: 100
--average uniloss: 0.15620005343641555
--average posloss: 3.8084852269717624
--average rotloss: 1.2042989688260215
--average curloss: 0.9302775992878846
--average rsmloss: 1.5083415295396532
--average safeloss: 15.792575223105294
--average anchors: 1.9308786945683616
--step: 5100
--average loss: 25.45223033428192
--average arcloss: 0.2083524259339486
--average holloss: 1.810089040015425
--average uniloss: 0.15173959758664882
--average posloss: 3.4031287112406323
--average rotloss: 1.1519352421164513
--average curloss: 0.9122206909315926
--average rsmloss: 1.4425215806279863
--average safeloss: 14.583951388086591
--average anchors: 1.7882918204580034
--step: 5200
--average loss: 24.687985488346644
--average arcloss: 0.22036496536540134
--average holloss: 1.931430648480143
--average uniloss: 0.15076766748513495
--average posloss: 3.080068132707051
--average rotloss: 1.118558261011328
--average curloss: 0.9042238156710353
--average rsmloss: 1.4128294182675225
--average safeloss: 14.207103942121778
--average anchors: 1.662638572709901
--step: 5300
--average loss: 25.34095295837947
--average arcloss: 0.20733309869787522
--average holloss: 1.9186508038214274
--average uniloss: 0.15276208147406578
--average posloss: 3.1004120111465454
--average rotloss: 1.1249401324561663
--average curloss: 0.8883918412029743
--average rsmloss: 1.4023059351103646
--average safeloss: 14.858312121459416
--average anchors: 1.6878449214356286
--step: 5400
--average loss: 24.19580623081752
--average arcloss: 0.2331918478012085
--average holloss: 1.913831781063761
--average uniloss: 0.15241919670786178
--average posloss: 3.08067729643413
--average rotloss: 1.1259635080184256
--average curloss: 0.8880084433725902
--average rsmloss: 1.4496317143951143
--average safeloss: 13.68985345533916
--average anchors: 1.6622288737978255
--step: 5500
--average loss: 24.6809138911111
--average arcloss: 0.21740624415022985
--average holloss: 1.8523564892155784
--average uniloss: 0.15044123918882438
--average posloss: 3.055071913770267
--average rotloss: 1.1203368540321077
--average curloss: 0.856286923800196
--average rsmloss: 1.4216760056359428
--average safeloss: 14.381720227854592
--average anchors: 1.625617883035115
--step: 5600
--average loss: 25.67065950802394
--average arcloss: 0.23559818164046323
--average holloss: 1.8960250530924116
--average uniloss: 0.15206881160182611
--average posloss: 3.3256168493202756
--average rotloss: 1.145202326987471
--average curloss: 0.9080436086016042
--average rsmloss: 1.4663659632205963
--average safeloss: 14.80876728466579
--average anchors: 1.7329714511122023
--step: 5700
--average loss: 24.954722506659373
--average arcloss: 0.23704796457397087
--average holloss: 1.9234747950519835
--average uniloss: 0.15180979083691323
--average posloss: 3.2983248829841614
--average rotloss: 1.1395466019000327
--average curloss: 0.8904080848608699
--average rsmloss: 1.456146274294172
--average safeloss: 14.129078141280583
--average anchors: 1.7288859763315745
--step: 5800
--average loss: 24.30572141919817
--average arcloss: 0.240518080336707
--average holloss: 1.9395906286580222
--average uniloss: 0.1556117053010634
--average posloss: 3.258119755557605
--average rotloss: 1.15648267524583
--average curloss: 0.9301860582615648
--average rsmloss: 1.4892208193029677
--average safeloss: 13.363395988941193
--average anchors: 1.772595893059458
--step: 5900
--average loss: 24.227219581604004
--average arcloss: 0.23493879421481065
--average holloss: 1.885650879570416
--average uniloss: 0.15325211440878256
--average posloss: 3.2346458711794446
--average rotloss: 1.1501848101615906
--average curloss: 0.9320210319544587
--average rsmloss: 1.4571954586676188
--average safeloss: 13.424345518861498
--average anchors: 1.754985238824572
--step: 6000
--average loss: 24.328836951936996
--average arcloss: 0.22785515684102262
--average holloss: 1.8778524196573667
--average uniloss: 0.15372892415949277
--average posloss: 2.9126846534865245
--average rotloss: 1.1216581815055437
--average curloss: 0.8994062713214329
--average rsmloss: 1.4232448382037026
--average safeloss: 14.066095897129603
--average anchors: 1.646310527409826
--step: 6100
--average loss: 24.36301258632115
--average arcloss: 0.20184868787016189
--average holloss: 1.8354988917708397
--average uniloss: 0.15388099050947598
--average posloss: 2.8797168965850557
--average rotloss: 1.1092567199042864
--average curloss: 0.892888988235167
--average rsmloss: 1.4046209560973304
--average safeloss: 14.231188373906273
--average anchors: 1.6541120409965515
--step: 6200
--average loss: 24.162105287824357
--average arcloss: 0.22271207733345882
--average holloss: 1.8588474903787886
--average uniloss: 0.15336654548134124
--average posloss: 3.070604328598295
--average rotloss: 1.1312913234744753
--average curloss: 0.9223940446972847
--average rsmloss: 1.4510566251618522
--average safeloss: 13.663261660507747
--average anchors: 1.6885712466069631
--step: 6300
--average loss: 25.488428115844727
--average arcloss: 0.2249488297051617
--average holloss: 1.9684755567993437
--average uniloss: 0.15414017545325415
--average posloss: 3.2289609227861678
--average rotloss: 1.1658458273325647
--average curloss: 0.9288068764976093
--average rsmloss: 1.4482324804578508
--average safeloss: 14.618111738136836
--average anchors: 1.7509057990142278
--step: 6400
--average loss: 24.75574573448726
--average arcloss: 0.21258143575063773
--average holloss: 1.8700727788465363
--average uniloss: 0.15258114492254599
--average posloss: 3.305794835090637
--average rotloss: 1.155839970069272
--average curloss: 0.8999814375170639
--average rsmloss: 1.4402369154351098
--average safeloss: 14.011304438114166
--average anchors: 1.707352876663208
--step: 6500
--average loss: 24.4405026946749
--average arcloss: 0.2352798573140587
--average holloss: 1.8629320146782058
--average uniloss: 0.15664873165743692
--average posloss: 3.340801647731236
--average rotloss: 1.1649763828941755
--average curloss: 0.9297390250223023
--average rsmloss: 1.4898746801274163
--average safeloss: 13.444210188729423
--average anchors: 1.8160403605018343
--step: 6600
--average loss: 23.867800729615347
--average arcloss: 0.21589321110929763
--average holloss: 1.7849775233439036
--average uniloss: 0.15236173649983747
--average posloss: 3.2683272446904863
--average rotloss: 1.1376960245626313
--average curloss: 0.9038327043609959
--average rsmloss: 1.4272782014948981
--average safeloss: 13.264762818813324
--average anchors: 1.7126712245600564
--step: 6700
--average loss: 24.58092107091631
--average arcloss: 0.21915130197469676
--average holloss: 1.8176064512559347
--average uniloss: 0.15190848468669824
--average posloss: 3.2979057048048293
--average rotloss: 1.145735492663724
--average curloss: 0.9020671019596713
--average rsmloss: 1.4514698769365038
--average safeloss: 13.856328129768372
--average anchors: 1.7387485546725137
--step: 6800
--average loss: 23.773579086576188
--average arcloss: 0.21131776552647352
--average holloss: 1.7656623188938414
--average uniloss: 0.15072584338486195
--average posloss: 3.2587501044784273
--average rotloss: 1.1413733256714684
--average curloss: 0.853866271674633
--average rsmloss: 1.4297165253332682
--average safeloss: 13.236178619521004
--average anchors: 1.7259882454361235
--step: 6900
--average loss: 23.89485696383885
--average arcloss: 0.21490394191018172
--average holloss: 1.7540663821356637
--average uniloss: 0.15202051986541068
--average posloss: 3.275968685746193
--average rotloss: 1.1367778714214052
--average curloss: 0.8527381068893841
--average rsmloss: 1.424166732600757
--average safeloss: 13.357998635087695
--average anchors: 1.7262160054274969
--step: 7000
--average loss: 24.278476204190934
--average arcloss: 0.23103246917682035
--average holloss: 1.7155541543449675
--average uniloss: 0.15232303711984838
--average posloss: 3.467082700559071
